A    a
AEROFON    a ## r o f o n
AEROGRAM    a ## r o g r a m
AEROLIT    a ## r o l i t
AEROLOGI    a ## r o l o g i
AEROMETER    a ## r o m ## t ## r
AEROMOVEL    a ## r o m o f ## l
AERONAUTIKA    a ## r o n ## t i k a
AEROPLANGTON    a ## r o p l a ng t o n
AEROPLANKTON    a ## r o p l a n k t o n
AEROSKOP    a ## r o s k o p
AEROSOL    a ## r o s o l
AEROSTAT    a ## r o s t a t
AEROSTATIKA    a ## r o s t a t i k a
AESTETIKA    a ## s t ## t i k a
AFAIR    a f ## r
AFAL    a f a l
AFASIA    a f a s i a
AFDAL    a f d a l
AFDELING    a f d ## l i ng
AFDRUK    a f d r u k
AFEK    a f ## k
AFEKSI    a f ## k s i
AFEKTIF    a f ## k t i f
AFERESIS    a f ## r ## s i s
AFIAT    a f i a t
AFIDAVIT    a f i d a f i t
AFIKS    a f i k s
AFIKSASI    a f i k s a s i
AFILIASI    a f i l i a s i
AFINITAS    a f i n i t a s
AFIRMASI    a f i r m a s i
AFIRMATIF    a f i r m a t i f
AFONIA    a f o n i a
AFORISME    a f o r i s m ##
AFOTIK    a f o t i k
AFRASIA    a f r a s i a
AFRIKAT    a f r i k a t
AFRIT    a f r i t
AFRODISIAK    a f r o d i s i a k
AFSUN    a f s u n
AFWAH    a f w a h
AGA    a g a
AGAH    a g a h
AGAK    a g a k
AGAK-AGIH    a g a k a g i h
AGAL    a g a l
AGALAKSIA    a g a l a k s i a
AGAM    a g a m
AGAMA    a g a m a
AGAMAIS    a g a m ## s
AGAMAWI    a g a m a w i
AGAMEN    a g a m ## n
AGAMET    a g a m ## t
AGAMI    a g a m i
AGAMOGENESIS    a g a m o g ## n ## s i s
AGAN    a g a n
AGAPE    a g a p ##
AGAR    a g a r
AGAR-AGAR    a g a r a g a r
AGAS    a g a s
AGEN    a g ## n
AGENDA    a g ## n d a
AGENS    a g ## n s
AGENTIF    a g ## n t i f
AGIH    a g i h
AGIL    a g i l
AGIO    a g i o
AGIRIA    a g i r i a
AGITASI    a g i t a s i
AGITATIF    a g i t a t i f
AGITATOR    a g i t a t o r
AGLIKON    a g l i k o n
AGLOMERASI    a g l o m ## r a s i
AGLOMERAT    a g l o m ## r a t
AGLUTINASI    a g l u t i n a s i
AGLUTINAT    a g l u t i n a t
AGLUTINATIF    a g l u t i n a t i f
AGLUTININ    a g l u t i n i n
AGNOSIA    a g n o s i a
AGNOSTIK    a g n o s t i k
AGNOSTISISME    a g n o s t i s i s m ##
AGOGO    a g o g o
AGOMETER    a g o m ## t ## r
AGON    a g o n
AGONIA    a g o n i a
AGONIS    a g o n i s
AGONISTIK    a g o n i s t i k
AGORAFOBIA    a g o r a f o b i a
AGRADASI    a g r a d a s i
AGRAFIA    a g r a f i a
AGRARIA    a g r a r i a
AGRARIS    a g r a r i s
AGREGASI    a g r ## g a s i
AGREGAT    a g r ## g a t
AGREGATIF    a g r ## g a t i f
AGRESI    a g r ## s i
AGRESIF    a g r ## s i f
AGRESIVITAS    a g r ## s i f i t a s
AGRESOR    a g r ## s o r
AGRIOLOGI    a g r i o l o g i
AGRIPNIA    a g r i p n i a
AGRISILVIKULTUR    a g r i s i l f i k u l t u r
AGROBIS    a g r o b i s
AGROBISNIS    a g r o b i s n i s
AGROEKONOMI    a g r o ## k o n o m i
AGROEKOSISTEM    a g r o ## k o s i s t ## m
AGROGEOLOGI    a g r o g ## o l o g i
AGROIKOS    a g r ## k o s
AGROINDUSTRI    a g r ## n d u s t r i
AGROKIMIA    a g r o k i m i a
AGRONOM    a g r o n o m
AGRONOMI    a g r o n o m i
AGROSTOLOGI    a g r o s t o l o g i
AGROWISATA    a g r o w i s a t a
AGUK    a g u k
AGUL    a g u l
AGUN    a g u n
AGUNG    a g u ng
AGUS    a g u s
AGUSTUS    a g u s t u s
AGUT    a g u t
AGUT-AGUT    a g u t a g u t
AH    a h
AHAD    a h a d
AHADIAT    a h a d i a t
AHIMSA    a h i m s a
AHISTORIS    a h i s t o r i s
AHKAM    a h k a m
AHLAN    a h l a n
AHLI    a h l i
AHLULBAIT    a h l u l b ## t
AHLULKITAB    a h l u l k i t a b
AHLULKUBUR    a h l u l k u b u r
AHLUNUJUM    a h l u n u j u m
AHLUSULUK    a h l u s u l u k
AHLUSUNAH    a h l u s u n a h
AHMAK    a h m a k
AHMAR    a h m a r
AHO    a h o
AHSAN    a h s a n
AHWAL    a h w a l
AI    ##
AIB    ## b
AIN    ## n
AINULBANAT    ## n u l b a n a t
AINULYAKIN    ## n u l y a k i n
AINUNJARIAH    ## n u n j a r i a h
AIR    ## r
AJA    a j a
AJAB    a j a b
AJAIB    a j ## b
AJAIBKHANAH    a j ## b kh a n a h
AJAK    a j a k
AJAL    a j a l
AJANG    a j a ng
AJAR    a j a r
AJAR-AJAR    a j a r a j a r
AJEK    a j ## k
AJEKTIFA    a j ## k t i f a
AJEKTIVA    a j ## k t i f a
AJENGAN    a j ## ng a n
AJI    a j i
AJI-AJI    a j i a j i
AJIGINENG    a j i g i n ## ng
AJIMUMPUNG    a j i m u m p u ng
AJIR    a j i r
AJISAKA    a j i s a k a
AJNABI    a j n a b i
AJNAS    a j n a s
AJOJING    a j o j i ng
AJRE    a j r ##
AJU    a j u
AJUDAN    a j u d a n
AJUFAN    a j u f a n
AJUJAH    a j u j a h
AJUK    a j u k
AJUN    a j u n
AJUNG    a j u ng
AJUR    a j u r
AJUSTER    a j u s t ## r
AKAD    a k a d
AKADEMI    a k a d ## m i
AKADEMIK    a k a d ## m i k
AKADEMIKUS    a k a d ## m i k u s
AKADEMIS    a k a d ## m i s
AKADEMISI    a k a d ## m i s i
AKAID    a k ## d
AKAK    a k a k
AKAL    a k a l
AKAN    a k a n
AKANG    a k a ng
AKAPELA    a k a p ## l a
AKAR    a k a r
AKAS    a k a s
AKASIA    a k a s i a
AKATALEPSIA    a k a t a l ## p s i a
AKBAR    a k b a r
AKENE    a k ## n ##
AKEO    a k ## o
AKH    a kh
AKHBAR    a kh b a r
AKHIR    a kh i r
AKHIRAT    a kh i r a t
AKHIRULKALAM    a kh i r u l k a l a m
AKHLAK    a kh l a k
AKHLAKI    a kh l a k i
AKHWAN    a kh w a n
AKI    a k i
AKIBAT    a k i b a t
AKIDAH    a k i d a h
AKIK    a k i k
AKIKAH    a k i k a h
AKIL    a k i l
AKLAMASI    a k l a m a s i
AKLASIA    a k l a s i a
AKLI    a k l i
AKLIAH    a k l i a h
AKLIMASI    a k l i m a s i
AKLIMATISASI    a k l i m a t i s a s i
AKMAL    a k m a l
AKOLADE    a k o l a d ##
AKOMODASI    a k o m o d a s i
AKOMODATIF    a k o m o d a t i f
AKOR    a k o r
AKORDEON    a k o r d ## o n
AKRAB    a k r a b
AKRAWATI    a k r a w a t i
AKREDITASI    a k r ## d i t a s i
AKRIFLAVINA    a k r i f l a f i n a
AKRILAT    a k r i l a t
AKRILIK    a k r i l i k
AKROBAT    a k r o b a t
AKROBATIK    a k r o b a t i k
AKROFOBIA    a k r o f o b i a
AKROMEGALI    a k r o m ## g a l i
AKROMETER    a k r o m ## t ## r
AKROMION    a k r o m i o n
AKRONIM    a k r o n i m
AKSA    a k s a
AKSARA    a k s a r a
AKSARAWAN    a k s a r a w a n
AKSARAWATI    a k s a r a w a t i
AKSELERAN    a k s ## l ## r a n
AKSELERASI    a k s ## l ## r a s i
AKSELERATOR    a k s ## l ## r a t o r
AKSELEROMETER    a k s ## l ## r o m ## t ## r
AKSEN    a k s ## n
AKSENTOLOGI    a k s ## n t o l o g i
AKSENTUASI    a k s ## n t u a s i
AKSEP    a k s ## p
AKSEPTABEL    a k s ## p t a b ## l
AKSEPTABILITAS    a k s ## p t a b i l i t a s
AKSEPTASI    a k s ## p t a s i
AKSEPTOR    a k s ## p t o r
AKSES    a k s ## s
AKSESIBILITAS    a k s ## s i b i l i t a s
AKSESORI    a k s ## s o r i
AKSI    a k s i
AKSIDENTAL    a k s i d ## n t a l
AKSILA    a k s i l a
AKSIOLOGI    a k s i o l o g i
AKSIOMA    a k s i o m a
AKSIOMATIS    a k s i o m a t i s
AKSIS    a k s i s
AKSON    a k s o n
AKSOSTIL    a k s o s t i l
AKTA    a k t a
AKTENTAS    a k t ## n t a s
AKTIF    a k t i f
AKTING    a k t i ng
AKTINIDA    a k t i n i d a
AKTINIK    a k t i n i k
AKTINISME    a k t i n i s m ##
AKTINIUM    a k t i n i u m
AKTINOKIMIA    a k t i n o k i m i a
AKTINOLIT    a k t i n o l i t
AKTINOMETER    a k t i n o m ## t ## r
AKTIVA    a k t i f a
AKTIVIS    a k t i f i s
AKTIVISME    a k t i f i s m ##
AKTIVITAS    a k t i f i t a s
AKTOR    a k t o r
AKTRIS    a k t r i s
AKTUAL    a k t u a l
AKTUALISASI    a k t u a l i s a s i
AKTUARIA    a k t u a r i a
AKTUARIS    a k t u a r i s
AKU    a k u
AKUA    a k u a
AKUADES    a k u a d ## s
AKUADUK    a k u a d u k
AKUAKULTUR    a k u a k u l t u r
AKUALUNG    a k u a l u ng
AKUAMARIN    a k u a m a r i n
AKUAN    a k u a n
AKUAREL    a k u a r ## l
AKUARIS    a k u a r i s
AKUARIUM    a k u a r i u m
AKUARIUS    a k u a r i u s
AKUATIK    a k u a t i k
AKUIFER    a k u i f ## r
AKUISISI    a k u i s i s i
AKUK    a k u k
AKULTURASI    a k u l t u r a s i
AKUMULASI    a k u m u l a s i
AKUMULATIF    a k u m u l a t i f
AKUMULATOR    a k u m u l a t o r
AKUN    a k u n
AKUNTABEL    a k u n t a b ## l
AKUNTABILITAS    a k u n t a b i l i t a s
AKUNTAN    a k u n t a n
AKUNTANSI    a k u n t a n s i
AKUPUNGTUR    a k u p u ng t u r
AKUPUNGTURIS    a k u p u ng t u r i s
AKUPUNKTUR    a k u p u n k t u r
AKUR    a k u r
AKURASI    a k u r a s i
AKURAT    a k u r a t
AKUSATIF    a k u s a t i f
AKUSTIK    a k u s t i k
AKUSTIKA    a k u s t i k a
AKUT    a k u t
AKWAL    a k w a l
AL    a l
ALA    a l a
ALABANGKA    a l a b a ng k a
ALABIO    a l a b i o
ALAF    a l a f
ALAH    a l a h
ALAI    a l ##
ALAI-BELAI    a l ## b ## l ##
ALAIHISALAM    a l ## h i s a l a m
ALAIKA    a l ## k a
ALAIKUM    a l ## k u m
ALAK    a l a k
ALALIA    a l a l i a
ALAM    a l a m
ALAMAH    a l a m a h
ALAMAK    a l a m a k
ALAMANDA    a l a m a n d a
ALAMAS    a l a m a s
ALAMAT    a l a m a t
ALAMATULHAYAT    a l a m a t u l h a y a t
ALAMI    a l a m i
ALAMIAH    a l a m i a h
ALAMIN    a l a m i n
ALAN-ALAN    a l a n a l a n
ALANG    a l a ng
ALANG-ALANG    a l a ng a l a ng
ALANGKAH    a l a ng k a h
ALANTOIS    a l a n t ## s
ALAP    a l a p
ALAP-ALAP    a l a p a l a p
ALARM    a l a r m
ALAS    a l a s
ALAT    a l a t
ALAU    a l ##
ALAWAR    a l a w a r
ALAZON    a l a z o n
ALBANAT    a l b a n a t
ALBAS    a l b a s
ALBATROS    a l b a t r o s
ALBEDO    a l b ## d o
ALBEDOMETER    a l b ## d o m ## t ## r
ALBINISME    a l b i n i s m ##
ALBINO    a l b i n o
ALBINOID    a l b i n ## d
ALBIT    a l b i t
ALBUGINEA    a l b u g i n ## a
ALBUM    a l b u m
ALBUMEN    a l b u m ## n
ALBUMIN    a l b u m i n
ALBUMINOIT    a l b u m i n ## t
ALBUMINOMETER    a l b u m i n o m ## t ## r
ALBUMINURIA    a l b u m i n u r i a
ALDEHIDA    a l d ## h i d a
ALEGORI    a l ## g o r i
ALEGORIS    a l ## g o r i s
ALEKSANDRIT    a l ## k s a n d r i t
ALEKSIA    a l ## k s i a
ALEKSIN    a l ## k s i n
ALEL    a l ## l
ALEM    a l ## m
ALERGEN    a l ## r g ## n
ALERGI    a l ## r g i
ALERGIS    a l ## r g i s
ALF    a l f
ALFA    a l f a
ALFABET    a l f a b ## t
ALFABETIS    a l f a b ## t i s
ALFAKTORIUS    a l f a k t o r i u s
ALFANUMERIK    a l f a n u m ## r i k
ALFERES    a l f ## r ## s
ALGA    a l g a
ALGILIK    a l g i l i k
ALGOID    a l g ## d
ALGOJO    a l g o j o
ALGOLOGI    a l g o l o g i
ALGOMETER    a l g o m ## t ## r
ALGORITME    a l g o r i t m ##
ALGRAFI    a l g r a f i
ALHAMDULILLAH    a l h a m d u l i l l a h
ALHASIL    a l h a s i l
ALI    a l i
ALI-ALI    a l i a l i
ALIANSI    a l i a n s i
ALIAS    a l i a s
ALIASE    a l i a s ##
ALIBI    a l i b i
ALIENASI    a l i ## n a s i
ALIF    a l i f
ALIFATIK    a l i f a t i k
ALIFBATA    a l i f b a t a
ALIH    a l i h
ALIH-ALIH    a l i h a l i h
ALIHRAGAM    a l i h r a g a m
ALIK    a l i k
ALIKUOT    a l i k u o t
ALIM    a l i m
ALIMBUBU    a l i m b u b u
ALIMENTASI    a l i m ## n t a s i
ALIMENTER    a l i m ## n t ## r
ALIMIAH    a l i m i a h
ALIMIAT    a l i m i a t
ALIMUN    a l i m u n
ALIN    a l i n
ALINEA    a l i n ## a
ALING    a l i ng
ALIP    a l i p
ALIR    a l i r
ALIS    a l i s
ALISIKLIK    a l i s i k l i k
ALIT    a l i t
ALITERASI    a l i t ## r a s i
ALIZARIN    a l i z a r i n
ALJABAR    a l j a b a r
ALJALIL    a l j a l i l
ALKABIR    a l k a b i r
ALKADIM    a l k a d i m
ALKADIR    a l k a d i r
ALKAH    a l k a h
ALKALI    a l k a l i
ALKALINITAS    a l k a l i n i t a s
ALKALIS    a l k a l i s
ALKALOID    a l k a l ## d
ALKALOMETRI    a l k a l o m ## t r i
ALKAMAR    a l k a m a r
ALKANA    a l k a n a
ALKARI    a l k a r i
ALKASYAF    a l k a sy a f
ALKAUSAR    a l k ## s a r
ALKENA    a l k ## n a
ALKIL    a l k i l
ALKIMIA    a l k i m i a
ALKISAH    a l k i s a h
ALKITAB    a l k i t a b
ALKOHOL    a l k o h o l
ALKOHOLIS    a l k o h o l i s
ALKOHOLISASI    a l k o h o l i s a s i
ALKOHOLISME    a l k o h o l i s m ##
ALKOHOLOMETER    a l k o h o l o m ## t ## r
ALKU    a l k u
ALKUNA    a l k u n a
ALKUS    a l k u s
ALLAH    a l l a h
ALLAHU    a l l a h u
ALLAHUMA    a l l a h u m a
ALMAKTUB    a l m a k t u b
ALMALIK    a l m a l i k
ALMALUN    a l m a l u n
ALMAMATER    a l m a m a t ## r
ALMANAK    a l m a n a k
ALMANDIN    a l m a n d i n
ALMANDINA    a l m a n d i n a
ALMANDIT    a l m a n d i t
ALMARHUM    a l m a r h u m
ALMARHUMAH    a l m a r h u m a h
ALMASIH    a l m a s i h
ALMUAZAM    a l m u a z a m
ALMUKHLIS    a l m u kh l i s
ALOBAR    a l o b a r
ALOFON    a l o f o n
ALOGRAF    a l o g r a f
ALOI    a l ##
ALOKASI    a l o k a s i
ALOKRON    a l o k r o n
ALOLEKS    a l o l ## k s
ALOMERISME    a l o m ## r i s m ##
ALOMORF    a l o m o r f
ALON    a l o n
ALONIM    a l o n i m
ALOPATI    a l o p a t i
ALOPESIA    a l o p ## s i a
ALOT    a l o t
ALOTROPI    a l o t r o p i
ALPA    a l p a
ALPAKA    a l p a k a
ALPERES    a l p ## r ## s
ALPUKAH    a l p u k a h
ALQURAN    a l k u r a n
ALTAR    a l t a r
ALTER    a l t ## r
ALTERATIF    a l t ## r a t i f
ALTERNASI    a l t ## r n a s i
ALTERNATIF    a l t ## r n a t i f
ALTERNATOR    a l t ## r n a t o r
ALTIMETER    a l t i m ## t ## r
ALTO    a l t o
ALTOKUMULUS    a l t o k u m u l u s
ALTOSTRATUS    a l t o s t r a t u s
ALTRUIS    a l t r u i s
ALTRUISME    a l t r u i s m ##
ALTRUISTIS    a l t r u i s t i s
ALU    a l u
ALU-ALU    a l u a l u
ALUFIRU    a l u f i r u
ALUM    a l u m
ALUMINA    a l u m i n a
ALUMINIUM    a l u m i n i u m
ALUMNI    a l u m n i
ALUMNUS    a l u m n u s
ALUN    a l u n
ALUN-ALUN    a l u n a l u n
ALUNG    a l u ng
ALUP    a l u p
ALUR    a l u r
ALUR-ALUR    a l u r a l u r
ALUSI    a l u s i
ALUVIAL    a l u f i a l
ALUVIUM    a l u f i u m
ALVEOLAR    a l f ## o l a r
ALVEOLUM    a l f ## o l u m
ALVEOLUS    a l f ## o l u s
ALWAH    a l w a h
ALWASI    a l w a s i
ALWASIA    a l w a s i a
AM    a m
AMA    a m a
AMABAKDU    a m a b a k d u
AMAH    a m a h
AMAI-AMAI    a m ## a m ##
AMAL    a m a l
AMALGAM    a m a l g a m
AMALGAMASI    a m a l g a m a s i
AMALGAMATOR    a m a l g a m a t o r
AMALIAH    a m a l i a h
AMAN    a m a n
AMANAH    a m a n a h
AMANAT    a m a n a t
AMANDEL    a m a n d ## l
AMANDEMEN    a m a n d ## m ## n
AMANG    a m a ng
AMANITIN    a m a n i t i n
AMAR    a m a r
AMARILIS    a m a r i l i s
AMAT    a m a t
AMATIR    a m a t i r
AMATIRISME    a m a t i r i s m ##
AMATOL    a m a t o l
AMBAH    a m b a h
AMBAH-AMBAH    a m b a h a m b a h
AMBAI    a m b ##
AMBAI-AMBAI    a m b ## a m b ##
AMBAK    a m b a k
AMBAL    a m b a l
AMBALANG    a m b a l a ng
AMBALELA    a m b a l ## l a
AMBANG    a m b a ng
AMBAR    a m b a r
AMBARAU    a m b a r ##
AMBASADE    a m b a s a d ##
AMBASADOR    a m b a s a d o r
AMBAU    a m b ##
AMBEIEN    a m b ## ## n
AMBEK    a m b ## k
AMBEN    a m b ## n
AMBERAL    a m b ## r a l
AMBERGRIS    a m b ## r g r i s
AMBERIT    a m b ## r i t
AMBET    a m b ## t
AMBI    a m b i
AMBIGU    a m b i g u
AMBIGUITAS    a m b i g u i t a s
AMBIL    a m b i l
AMBILINGUAL    a m b i l i ng u a l
AMBIN    a m b i n
AMBING    a m b i ng
AMBISI    a m b i s i
AMBISIUS    a m b i s i u s
AMBIVALEN    a m b i f a l ## n
AMBIVALENSI    a m b i f a l ## n s i
AMBLAS    a m b l a s
AMBLEK    a m b l ## k
AMBLES    a m b l ## s
AMBLIOBIA    a m b l i o b i a
AMBOI    a m b ##
AMBRENG-AMBRENGAN    a m b r ## ng a m b r ## ng a n
AMBRING    a m b r i ng
AMBROL    a m b r o l
AMBRUK    a m b r u k
AMBU-AMBU    a m b u a m b u
AMBUH    a m b u h
AMBUL    a m b u l
AMBULAKRAL    a m b u l a k r a l
AMBULANS    a m b u l a n s
AMBULATORI    a m b u l a t o r i
AMBUNG    a m b u ng
AMBUNG-AMBUNG    a m b u ng a m b u ng
AMBUR    a m b u r
AMBURADUL    a m b u r a d u l
AMBYAR    a m b y a r
AMEBA    a m ## b a
AMEBIASIS    a m ## b i a s i s
AMEBOID    a m ## b ## d
AMEBOSIT    a m ## b o s i t
AMELIORASI    a m ## l i o r a s i
AMELIORATIF    a m ## l i o r a t i f
AMEN    a m ## n
AMENDEMEN    a m ## n d ## m ## n
AMENOREA    a m ## n o r ## a
AMENSALISME    a m ## n s a l i s m ##
AMENTA    a m ## n t a
AMERISIUM    a m ## r i s i u m
AMEROSPORA    a m ## r o s p o r a
AMERTA    a m ## r t a
AMETABOLA    a m ## t a b o l a
AMETIS    a m ## t i s
AMETOBOLA    a m ## t o b o l a
AMFETAMIN    a m f ## t a m i n
AMFIARTROSIS    a m f i a r t r o s i s
AMFIBI    a m f i b i
AMFIBOL    a m f i b o l
